Gene_Id,padj,logFC
225175_s_at,0.006999,-1.0519176
202698_x_at,0.007123,-0.5801078
226652_at,0.007123,-0.7175885
227999_at,0.00718,-0.704239
225367_at,0.007282,0.9942803
204052_s_at,0.007282,3.4065385
231732_at,0.007282,-2.1118725
242913_at,0.007282,-2.5298135
1567252_at,0.007283,-2.0399148
1555265_at,0.007283,-1.9802076
240422_at,0.007293,-2.2189887
216063_at,0.007304,-1.1666795
218844_at,0.007315,-1.2278547
241349_at,0.007315,-1.4100767
226695_at,0.007315,2.1126396
218124_at,0.007324,-1.124912
203820_s_at,0.007403,3.2869979
237879_at,0.007416,-1.1190647
220609_at,0.007416,-1.4407435
213010_at,0.007441,1.2846208
203768_s_at,0.007441,-1.7986646
227107_at,0.007441,0.8294319
232699_at,0.007441,-1.3128572
228787_s_at,0.007535,1.7120242
1554869_at,0.007642,-0.8154945
215074_at,0.007662,1.0522716
225464_at,0.007662,1.2955987
203417_at,0.007662,2.1811041
218531_at,0.007702,-0.8314868
1560850_at,0.007702,-3.6415226
230573_at,0.007702,-2.2435405
224307_x_at,0.007734,-1.1695583
231120_x_at,0.007734,-2.773715
201616_s_at,0.007734,1.5775948
211549_s_at,0.007734,-2.7404028
231704_at,0.007734,-1.1446395
204151_x_at,0.007734,-2.7298538
202366_at,0.007734,-0.9349228
221731_x_at,0.007734,1.3760699
237999_at,0.007734,-0.8490084
217428_s_at,0.007734,4.3649872
204362_at,0.007734,1.1228581
233002_at,0.007734,-2.0125141
216442_x_at,0.007734,2.1089024
230096_at,0.007734,-1.1826703
213338_at,0.007734,1.4560434
203940_s_at,0.007734,1.0981434
229655_at,0.007762,2.5820198
214116_at,0.007762,-1.0911358
212112_s_at,0.007779,-1.1146979
208782_at,0.007779,1.3933127
232214_x_at,0.007779,-2.0380731
238852_at,0.007786,2.0463874
219787_s_at,0.007801,1.4763034
212746_s_at,0.007801,1.2424428
202310_s_at,0.007801,2.2098504
38340_at,0.007801,-0.7756721
228360_at,0.007801,-3.1547356
223475_at,0.007801,2.5712471
206263_at,0.007834,-1.3462941
207033_at,0.007837,-7.7469969
206561_s_at,0.007837,-4.5482946
238811_at,0.007851,-1.2773207
222449_at,0.007868,1.9360001
240934_at,0.007884,-1.0993772
207031_at,0.007884,2.928947
1558139_at,0.007884,2.088069
224371_at,0.007943,-1.8036343
1552608_at,0.007943,-2.3089769
204620_s_at,0.007943,1.3950646
240385_at,0.007943,-1.4084771
219908_at,0.007958,2.5600329
1561624_at,0.007958,-0.8682741
210641_at,0.007958,-3.5024798
1555606_a_at,0.007958,-1.3472788
233876_at,0.007999,-1.1466635
219274_at,0.007999,-1.1263904
1568634_a_at,0.007999,-2.3766201
241981_at,0.007999,-2.0391
201852_x_at,0.008001,1.3184085
217385_at,0.008006,-1.8060351
231463_at,0.008006,-3.5770859
215103_at,0.008006,-2.8554529
226994_at,0.008006,-0.6902816
240334_at,0.008006,-1.1944521
212594_at,0.008014,-1.6238949
1562081_a_at,0.008014,-0.7212366
240314_at,0.008014,-0.8161496
227782_at,0.008014,-3.1920251
233463_at,0.008014,-2.1346231
203913_s_at,0.008014,-3.5085203
202613_at,0.008014,0.9621214
243386_at,0.008014,-0.992247
215780_s_at,0.008014,0.9446194
209474_s_at,0.008014,0.863866
229740_at,0.008014,-2.606567
238615_at,0.008014,-1.1987437
229054_at,0.008014,-0.8616773
213624_at,0.008014,-1.2151709
201535_at,0.008014,-1.4608716
218487_at,0.008014,-1.065235
225726_s_at,0.008014,-1.1431647
222547_at,0.008053,0.8883209
201323_at,0.008086,0.7690456
238617_at,0.008092,2.0574511
225687_at,0.008144,1.6107055
201517_at,0.008193,0.7304993
219562_at,0.008241,-1.6230493
206885_x_at,0.008251,-2.2005077
206556_at,0.008251,-2.8468237
231555_at,0.008251,-1.5507243
208147_s_at,0.008251,-2.5299444
228929_at,0.008251,-1.3401498
216080_s_at,0.008251,1.5694341
1553530_a_at,0.008251,1.0434826
201534_s_at,0.008251,-1.7564404
215022_x_at,0.008251,-0.7776103
212111_at,0.008251,-0.9205938
202993_at,0.008251,-0.7383965
242271_at,0.008251,-4.0798108
238178_at,0.008251,-1.093515
225874_at,0.008251,-1.488681
233805_at,0.008251,-2.3309018
220318_at,0.008254,-1.8748352
1559631_at,0.008301,-1.0546754
210002_at,0.008304,-1.797253
214091_s_at,0.008304,-1.338384
203167_at,0.008355,1.0471557
217605_at,0.008355,-0.776706
1557474_at,0.008355,-2.930879
227629_at,0.008357,-1.8970453
227982_at,0.008358,-0.7698445
222450_at,0.008361,1.9374348
1558233_s_at,0.008369,0.8627196
229006_at,0.008398,-1.2919189
218967_s_at,0.008398,-1.0558976
212228_s_at,0.008404,-0.7546953
220161_s_at,0.008486,-1.5895673
37278_at,0.008511,-0.8063978
217294_s_at,0.008592,1.4491932
1565909_at,0.008618,-1.4229498
209875_s_at,0.008638,3.3893749
205486_at,0.008638,-0.8702411
208875_s_at,0.008682,1.1034602
212800_at,0.008682,1.1046608
236279_at,0.008682,-1.0884699
206429_at,0.008682,-1.6549697
205102_at,0.008703,-1.4000728
206224_at,0.008703,3.561329
219802_at,0.008703,-1.1209419
209082_s_at,0.008703,0.9512177
201162_at,0.008704,1.3692768
242998_at,0.008764,-3.6224081
213492_at,0.008783,-3.632564
1554714_at,0.008783,-1.8997355
242733_at,0.008783,-3.5182512
1566935_at,0.008785,-1.8326354
219398_at,0.008787,-1.6291401
1568609_s_at,0.008787,0.8964077
203074_at,0.008796,2.160444
203771_s_at,0.008832,0.9527784
240826_at,0.008897,2.0162063
201835_s_at,0.008905,-0.8336399
219405_at,0.00891,-0.7420039
206392_s_at,0.008926,2.2302606
1554077_a_at,0.00893,-0.714744
204320_at,0.00893,4.4773318
222016_s_at,0.00893,-1.1499849
225106_s_at,0.00893,0.867589
208440_at,0.009004,-1.4217165
1552834_at,0.009004,-2.9865555
212563_at,0.009004,1.096152
1553907_a_at,0.009004,-2.4707344
242349_at,0.009015,-0.8413777
224896_s_at,0.009045,0.8439743
1565598_at,0.009123,-1.2090821
204068_at,0.009171,1.059411
227801_at,0.009171,0.9651947
220753_s_at,0.009175,-1.1114688
207924_x_at,0.009183,-2.0517433
205165_at,0.009197,1.9216114
214175_x_at,0.009199,1.0021973
202730_s_at,0.009237,-1.2381202
235944_at,0.009254,1.9939599
202766_s_at,0.009268,1.7708897
200755_s_at,0.009281,0.777397
204182_s_at,0.009284,-0.9648355
234556_at,0.009294,-2.957226
203658_at,0.009294,-0.9459282
226384_at,0.009294,-1.1114821
243329_at,0.009294,-0.7796882
218029_at,0.009294,1.8383422
217539_at,0.009294,-0.9155597
206391_at,0.009294,2.3214493
200856_x_at,0.0093,-0.5347673
232680_at,0.009363,-0.9644589
201223_s_at,0.009363,0.6815646
204736_s_at,0.009363,1.6382291
1567219_at,0.009363,1.0499703
231211_s_at,0.009363,-4.1353181
237654_at,0.009363,-1.693181
220750_s_at,0.009363,0.8489615
232929_at,0.009368,-1.0290066
222409_at,0.009368,0.8809599
218797_s_at,0.009368,-0.7404815
220524_at,0.009368,-1.7681553
243921_at,0.009368,2.4043439
218336_at,0.009368,0.899488
209955_s_at,0.009368,3.9920989
207655_s_at,0.009368,-1.1883016
1554246_at,0.009368,-1.2522631
223535_at,0.009368,-0.9450508
243562_at,0.009368,-2.4980522
206170_at,0.009368,-2.1689328
1563816_at,0.009368,-1.9289274
232217_at,0.009368,1.4956806
238640_at,0.009368,-0.7833838
206445_s_at,0.009368,0.7946598
223512_at,0.009368,-0.8956232
221766_s_at,0.009368,-1.5800376
213964_x_at,0.009368,-1.09992
235420_at,0.009368,-3.3436518
201468_s_at,0.009368,-1.4487058
223176_at,0.009368,0.8159959
204704_s_at,0.009369,-4.5435921
205765_at,0.009382,-2.0910967
200710_at,0.009382,-0.9348712
219979_s_at,0.009382,1.0014325
221505_at,0.009401,0.8146507
1567013_at,0.009401,-1.7211358
1567107_s_at,0.009411,0.9186002
202952_s_at,0.009411,2.6351668
234604_at,0.009411,-0.8856343
201111_at,0.009411,1.1679091
223530_at,0.009411,0.8707203
230135_at,0.009417,-2.8647426
204437_s_at,0.009432,-2.5936504
227256_at,0.009437,0.8367569
1552400_a_at,0.009471,-1.79497
220351_at,0.009523,-2.1517332
1553171_x_at,0.009523,-0.8546003
1566605_at,0.009547,-1.0603697
232918_at,0.00958,1.5372422
201413_at,0.00958,-0.7338489
226658_at,0.009614,2.1351529
212090_at,0.009614,0.9747593
1563022_at,0.009614,-1.7366366
212833_at,0.009614,-0.8539828
229147_at,0.009637,-2.0182687
AFFX-HSAC07/X00351_5_at,0.009645,0.7293792
213959_s_at,0.009649,0.8978775
224574_at,0.009649,0.8692211
220767_at,0.009673,-1.8640943
238941_at,0.009685,-2.6858405
231882_at,0.009689,1.6998569
1563407_x_at,0.009689,-2.9339337
216058_s_at,0.009726,-2.3867726
233567_at,0.009787,-2.273754
239528_at,0.009793,-1.0703574
205111_s_at,0.00986,-1.7130446
205248_at,0.0099,-1.1248465
203489_at,0.009903,0.7069837
208447_s_at,0.009932,0.7574367
211548_s_at,0.009939,-3.4019165
202087_s_at,0.010061,1.5885838
218889_at,0.010062,0.6368849
222752_s_at,0.010062,0.9196851
222108_at,0.010062,1.3006662
226615_at,0.010062,0.8451772
238095_at,0.010062,-2.2657949
214662_at,0.010062,0.8629457
231637_at,0.010128,-1.5765024
1560219_at,0.010128,-1.9743369
234670_at,0.010128,-1.1588444
211964_at,0.010139,1.3943643
1555715_a_at,0.01017,-0.8031322
215032_at,0.01017,-0.6274958
204463_s_at,0.01017,1.6628069
221588_x_at,0.01017,-1.6206969
210153_s_at,0.010222,-0.6483133
220629_at,0.010235,-2.278786
1553834_at,0.010241,-1.8283797
218065_s_at,0.010241,-0.6146693
232940_s_at,0.010259,-0.8896532
213905_x_at,0.010342,2.6204491
219028_at,0.010342,-0.87079
242393_x_at,0.010346,-0.8013876
218986_s_at,0.010376,-2.0275719
201339_s_at,0.010376,-0.6658961
239765_at,0.010379,-1.3778838
202545_at,0.010385,-0.9467643
1559571_a_at,0.010406,-2.1377227
240661_at,0.010406,1.6144814
224480_s_at,0.010406,-2.0779938
219429_at,0.010406,-2.26995
225908_at,0.010413,0.8587551
242096_at,0.010453,-0.7739305
1553776_at,0.010467,-2.3716252
231035_s_at,0.010467,-1.1892961
224396_s_at,0.010467,2.5096667
1568730_at,0.010467,-2.6950627
203914_x_at,0.010467,-3.4797985
214594_x_at,0.010467,-0.9723504
206469_x_at,0.010467,-2.1246551
226974_at,0.010467,-1.6753551
1553417_at,0.010467,-1.0253715
205703_at,0.010517,-1.8466829
206293_at,0.010517,-3.677977
208126_s_at,0.010576,-2.8248293
238018_at,0.010591,-3.0572328
213604_at,0.010647,-0.8574549
217795_s_at,0.010647,0.7729709
236305_at,0.010647,-1.0687045
204030_s_at,0.010647,1.2771946
237863_at,0.010647,2.5949604
225651_at,0.010647,1.0309983
220776_at,0.010647,-0.8392714
223199_at,0.010647,-0.8972366
220266_s_at,0.010647,-1.9958316
235141_at,0.010647,-0.8489476
212077_at,0.010647,1.104454
218661_at,0.010647,-0.6996379
218190_s_at,0.010647,-0.6889204
236726_at,0.010703,-1.83346
234312_s_at,0.010711,-0.9969082
208851_s_at,0.010711,2.036229
226799_at,0.010711,1.087545
244353_s_at,0.010711,-2.2245193
217875_s_at,0.010711,1.7410289
207170_s_at,0.010711,-0.5554986
223198_x_at,0.010711,0.7211403
228285_at,0.010723,-1.3120788
225457_s_at,0.010739,-1.995057
224560_at,0.010756,1.2070953
205057_s_at,0.010888,-1.2387277
211844_s_at,0.010888,2.1636328
221823_at,0.010888,-1.5924412
207691_x_at,0.010918,0.8006863
237337_at,0.010918,-0.8508848
214665_s_at,0.010918,-0.8888672
212838_at,0.010927,-1.0519054
219758_at,0.010967,1.7087781
234943_at,0.011018,-1.0001366
229067_at,0.011038,0.876049
233555_s_at,0.011049,1.3899689
1560107_at,0.011049,-2.7956611
216381_x_at,0.011049,-2.0848518
229310_at,0.011049,1.1584913
1554962_a_at,0.011049,1.6499524
230485_at,0.011049,-1.010415
240083_at,0.011049,2.063847
225710_at,0.011049,0.9603681
224374_s_at,0.011049,0.8827399
1552575_a_at,0.011049,-1.5247845
1557651_x_at,0.011063,-1.0129705
238816_at,0.011116,-0.9849535
229479_at,0.011143,4.0107578
222245_s_at,0.011143,-1.8744903
224724_at,0.011185,1.4104273
221538_s_at,0.011215,0.8994019
211020_at,0.011217,-1.2491729
222549_at,0.011238,2.6621611
209397_at,0.01125,-0.7333523
223168_at,0.011263,-0.9784067
230559_x_at,0.011263,-1.8654365
1552830_at,0.011263,-1.5428948
234414_at,0.011264,-0.9837107
1563531_at,0.011347,-1.2553438
225481_at,0.011347,1.2705511
206571_s_at,0.01136,0.8019741
225116_at,0.01136,-1.0464924
212114_at,0.011384,-0.8959443
239156_at,0.011388,-1.1560079
1552801_at,0.011394,-2.5667229
206026_s_at,0.011395,1.8140808
